,stop_name,platform_code,asw_node_id,asw_stop_id,asw_ids
9114,"Vlašim,Budvar",A,5777,1,5777_1
9115,"Vlašim,Budvar",B,5777,2,5777_2
9116,"Vlašim,Československé armády",A,5778,1,5778_1
9117,"Vlašim,Československé armády",B,5778,2,5778_2
9118,"Vlašim,Sukova",A,5779,1,5779_1
9119,"Vlašim,Sukova",B,5779,2,5779_2
9120,"Vlašim,kolonie",A,5780,1,5780_1
9121,"Vlašim,kolonie",B,5780,2,5780_2
9122,"Vlašim,Navrátilova",A,5782,1,5782_1
9123,"Vlašim,Navrátilova",B,5782,2,5782_2
9124,"Vlašim,Navrátilova-školka",A,5783,1,5783_1
9125,"Vlašim,Navrátilova-školka",B,5783,2,5783_2
9126,"Vlašim,Obora",A,5784,1,5784_1
9127,"Vlašim,Obora",B,5784,2,5784_2
